Type,id,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--greendiesel_production,transforms--gasoline_production,transforms--electricity_consumption,transforms--electricity_production,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--greendiesel_edge--commodity,edges--greendiesel_edge--unidirectional,edges--greendiesel_edge--has_capacity,edges--greendiesel_edge--end_vertex,edges--gasoline_edge--commodity,edges--gasoline_edge--unidirectional,edges--gasoline_edge--has_capacity,edges--gasoline_edge--end_vertex,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--unidirectional,edges--elec_consumption_edge--has_capacity,edges--elec_consumption_edge--start_vertex,edges--elec_production_edge--commodity,edges--elec_production_edge--unidirectional,edges--elec_production_edge--has_capacity,edges--elec_production_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
FischerTropsch,BR_MT_BECCS_FT_large,Biomass,TRUE,1.92,0.42,0.5,,0.883,1.55,0.667,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_MT,357,17789790,711513.39,104.18,0,system/availability.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
FischerTropsch,BR_MS_BECCS_FT_large,Biomass,TRUE,1.92,0.42,0.5,,0.883,1.55,0.667,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_MS,357,17789790,711513.39,104.18,0,system/availability.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
FischerTropsch,BR_MG_BECCS_FT_large,Biomass,TRUE,1.92,0.42,0.5,,0.883,1.55,0.667,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_MG,357,17789790,711513.39,104.18,0,system/availability.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
FischerTropsch,BR_PA_BECCS_FT_large,Biomass,TRUE,1.92,0.42,0.5,,0.883,1.55,0.667,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_PA,357,17789790,711513.39,104.18,0,system/availability.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
FischerTropsch,BR_PB_BECCS_FT_large,Biomass,TRUE,1.92,0.42,0.5,,0.883,1.55,0.667,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_PB,357,17789790,711513.39,104.18,0,system/availability.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
FischerTropsch,BR_PR_BECCS_FT_large,Biomass,TRUE,1.92,0.42,0.5,,0.883,1.55,0.667,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_PR,357,17789790,711513.39,104.18,0,system/availability.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
FischerTropsch,BR_PE_BECCS_FT_large,Biomass,TRUE,1.92,0.42,0.5,,0.883,1.55,0.667,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_PE,357,17789790,711513.39,104.18,0,system/availability.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
FischerTropsch,BR_PI_BECCS_FT_large,Biomass,TRUE,1.92,0.42,0.5,,0.883,1.55,0.667,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_PI,357,17789790,711513.39,104.18,0,system/availability.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
FischerTropsch,BR_RJ_BECCS_FT_large,Biomass,TRUE,1.92,0.42,0.5,,0.883,1.55,0.667,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_RJ,357,17789790,711513.39,104.18,0,system/availability.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
FischerTropsch,BR_RN_BECCS_FT_large,Biomass,TRUE,1.92,0.42,0.5,,0.883,1.55,0.667,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_RN,357,17789790,711513.39,104.18,0,system/availability.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
FischerTropsch,BR_RS_BECCS_FT_large,Biomass,TRUE,1.92,0.42,0.5,,0.883,1.55,0.667,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_RS,357,17789790,711513.39,104.18,0,system/availability.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
FischerTropsch,BR_RO_BECCS_FT_large,Biomass,TRUE,1.92,0.42,0.5,,0.883,1.55,0.667,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_RO,357,17789790,711513.39,104.18,0,system/availability.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
FischerTropsch,BR_RR_BECCS_FT_large,Biomass,TRUE,1.92,0.42,0.5,,0.883,1.55,0.667,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_RR,357,17789790,711513.39,104.18,0,system/availability.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
FischerTropsch,BR_SC_BECCS_FT_large,Biomass,TRUE,1.92,0.42,0.5,,0.883,1.55,0.667,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_SC,357,17789790,711513.39,104.18,0,system/availability.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
FischerTropsch,BR_SP_BECCS_FT_large,Biomass,TRUE,1.92,0.42,0.5,,0.883,1.55,0.667,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_SP,357,17789790,711513.39,104.18,0,system/availability.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
FischerTropsch,BR_SE_BECCS_FT_large,Biomass,TRUE,1.92,0.42,0.5,,0.883,1.55,0.667,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_SE,357,17789790,711513.39,104.18,0,system/availability.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
FischerTropsch,BR_TO_BECCS_FT_large,Biomass,TRUE,1.92,0.42,0.5,,0.883,1.55,0.667,Residue,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,residue_BR_TO,357,17789790,711513.39,104.18,0,system/availability.csv,Availability_One,GreenDiesel,TRUE,FALSE,greendiesel_BR,Gasoline,TRUE,FALSE,gasoline_BR,Electricity,TRUE,FALSE,elec_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
